id,category,key,value,notes,affecting,https://docs.google.com/spreadsheets/d/,peek
4,content,asset_bundle_docid,1yDakqXN34jQBiQ8mpVQfISzK7JFppQcG4DMTEbuPkHw,Lists bundles of real cash purcases and other game assets ,in use,https://docs.google.com/spreadsheets/d/1yDakqXN34jQBiQ8mpVQfISzK7JFppQcG4DMTEbuPkHw,
5,content,catalog_docid,1XX3CA7TFVVfgh5IlrGHuv3m1LMNmo3RUeHvc3DnRl3s,lists all objects available to build in village plus dependencies  1BxqRTAyVM_Ex7FoHn0XPJJdhY5X06dvqKq3PrtRQ-30,yes,https://docs.google.com/spreadsheets/d/1XX3CA7TFVVfgh5IlrGHuv3m1LMNmo3RUeHvc3DnRl3s,
6,content,defaultVillageID,1Km7fOqhIHv7OKcdKdH4kW5ZN1nlFMVJVQJOAX9qWPaw,default village spreadsheet which will be copied,,https://docs.google.com/spreadsheets/d/1Km7fOqhIHv7OKcdKdH4kW5ZN1nlFMVJVQJOAX9qWPaw,
7,folder,driveFolderID,0B-zdryEj60U_d0RsVzhXWFdJUEE,saved villages will be in this folder,,,
9,content,game_fsm_docid,1nLSXKITXWDNcyRzYyWv8P83f2lUWv4sqKBGzm3o7Ks0,"
this spreadsheet stores finite state machine for the entire game. Let me know if you have questions about implementing this.
I also want to have a sheet of all possible events in the game and their triggers and effects so.  However fsm is heavily overlapping. So... ideal implementation is only events in events sheet could be entries in the FSM, go with warning instead of ban",working,https://docs.google.com/spreadsheets/d/1nLSXKITXWDNcyRzYyWv8P83f2lUWv4sqKBGzm3o7Ks0,is there a game state object already?
10,content,messages_docid,1x2mtOVV6hhtcIADqgv7BMKSwYqBSYynYmcyy5-ayH2E,"sheet of all the messages pop in doc. expect message label, language, we don't have language selection implemented yet so pull from English column for now",working,https://docs.google.com/spreadsheets/d/1x2mtOVV6hhtcIADqgv7BMKSwYqBSYynYmcyy5-ayH2E,
11,content,news_feed_docid,1dprQN1W1IH6lfK0CBRCrfiB5hf9twD5i12TonKuB1a8,events to show in the game based on customer of game. ,not sure if implemented,https://docs.google.com/spreadsheets/d/1dprQN1W1IH6lfK0CBRCrfiB5hf9twD5i12TonKuB1a8,
13,content,goals_docid,1kpgTowZA3zoQHNyjZ7kFPHvU55dshyVmKP9704_-_h4,list of goals and their requirements,yes,https://docs.google.com/spreadsheets/d/1kpgTowZA3zoQHNyjZ7kFPHvU55dshyVmKP9704_-_h4,
21,tutorial,tutorialItem1,Hut2,,,,
24,asset,assetAnimationTotalObjects,15,??? WHat is this ???,,,
25,asset,assetAnimationTimerDuration,3,seconds,,,
26,gamesetting,boundsHeight,1545,,,,
27,gamesetting,boundsWidth,2627,,,,
30,gamesetting,canvasHeight,470,what is this used for? ,,,
31,gamesetting,canvasWidth,971,what is this used for? ,,,
41,gamesetting,energyFeature,off,,,,
48,gamesetting,gameScale,1.5,,,,
57,gamesetting,mapTileSize,36,,,,
60,message,message_fadeout,3,fade out any message on screen after x seconds,,,
71,outline,outlineFeasibleColor,"rgb(0,255,0)","format like: rgb(0,255,0)",,,
72,outline,outlineStrokeWidth,4,,,,
73,outline,outlineUnfeasibleColor,"rgb(255,0,0)","format like: rgb(0,255,0)",,,
78,gamesetting,redirectURI,postmessage,,,,
79,gamesetting,rewardMechanismTextureList,"[{""name"":""xp"",""texture"":""star"",""mount"":""goalButton"",""fontAnchorX"":50,""fontAnchorY"":100},{""name"":""coins"",""texture"":""coin"",""mount"":""coinbar"",""fontAnchorX"":50, ""fontAnchorY"":100},{""name"":""cash"",""texture"":""cash"",""mount"":""cashbar"",""fontAnchorX"":50,""fontAnchorY"":100},{""name"":""water"",""texture"":""Water-48"",""mount"":""waterbar"",""fontAnchorX"":50,""fontAnchorY"":100}]",Umut can you add note what this is? ,,,
81,player_asset,startCash,1200,Set Cash to this if User's first login or not logged in. ,,,
82,player_asset,startCoins,2000,Set Coins to this if User's first login or not logged in. ,,,
88,tutorial,tutorialItem2,Hut1,probably deprecated,,,
89,tutorial,tutorialItem3,PlantsSmall,probably deprecated,,,
90,tutorial,tutorialItem4,Well2,probably deprecated,,,
91,gamesetting,villagerStartX,16,,,,
92,gamesetting,villagerStartY,16,,,,
93,xp,xpFeature,off,gui feature; if off then don't display xp; if game events have xp consequences you can ignore them.,,,
94,gamesetting,xTiles,22,,,,
96,gamesetting,yTiles,22,,,,
98,player_asset,startWater,20,Umut what unit of measurement is this?,,,
98,sound,defaultClickSound,/client/assets/sounds/sfx/click.mp3,Things like this should get migrated to a sheet of events when the events sheet is implemented.  However events are still hardcoded mostly client slide. ,,http://villagegamedev2.appspot.com/client/assets/sounds/sfx/click.mp3,
99,sound,defaultBuildSound,/client/assets/sounds/sfx/creaturfootsteplarge.mp3,Things like this should get migrated to a sheet of events when the events sheet is implemented.  However events are still hardcoded mostly client slide. ,,http://villagegamedev2.appspot.com/client/assets/sounds/sfx/creaturfootsteplarge.mp3,
100,sound,defaultCancelSound,/client/assets/sounds/sfx/cancel.mp3,Things like this should get migrated to a sheet of events when the events sheet is implemented.  However events are still hardcoded mostly client slide. ,,http://villagegamedev2.appspot.com/client/assets/sounds/sfx/cancel.mp3,
101,gamesetting,notificationMessageEasing,easeOutBounce,,,,
101,market,itemCount,8,number of items per page when the market catalog is paginated. maybe reuse on goal Dialog as well.,,,
